date,qsim,year,month,qobs
1991-07-22,41.2744717436372,1991,7,
1991-07-23,40.44116056602378,1991,7,
1991-07-24,39.68149968848961,1991,7,
1991-07-25,45.829078682705706,1991,7,
1991-07-26,54.74534918237797,1991,7,
1991-07-27,54.657560571476175,1991,7,
1991-07-28,49.52761139414107,1991,7,
1991-07-29,44.64609883469684,1991,7,
1991-07-30,45.522329227316334,1991,7,
1991-07-31,47.4373643145446,1991,7,
1991-08-01,49.43833115405203,1991,8,
1991-08-02,47.11072127922122,1991,8,
1991-08-03,43.33586726281748,1991,8,
1991-08-04,41.238005588106994,1991,8,
1991-08-05,40.04685674733656,1991,8,
1991-08-06,39.11224431257946,1991,8,
1991-08-07,39.47263263891213,1991,8,
1991-08-08,39.9272507673092,1991,8,
1991-08-09,38.17947982886101,1991,8,
1991-08-10,36.62853330185575,1991,8,
1991-08-11,35.78955080734513,1991,8,
1991-08-12,35.10898294068668,1991,8,
1991-08-13,34.478948872304294,1991,8,
1991-08-14,33.8825797587994,1991,8,
1991-08-15,33.315369187941194,1991,8,
1991-08-16,32.7746076311381,1991,8,
1991-08-17,32.2580152278128,1991,8,
1991-08-18,31.76355915450436,1991,8,
1991-08-19,31.2894119506558,1991,8,
1991-08-20,30.833927512308723,1991,8,
1991-08-21,30.39562121931744,1991,8,
1991-08-22,29.973161441101567,1991,8,
1991-08-23,29.566201478012086,1991,8,
1991-08-24,29.21802843051557,1991,8,
1991-08-25,29.001402346186183,1991,8,
1991-08-26,28.645372313484724,1991,8,
1991-08-27,28.172937712508524,1991,8,
1991-08-28,27.76636991559216,1991,8,
1991-08-29,27.411704234310022,1991,8,
1991-08-30,27.0767309374353,1991,8,
1991-08-31,26.75185112111877,1991,8,
1991-09-01,26.480836022538835,1991,9,
1991-09-02,27.01423173051583,1991,9,
1991-09-03,27.861658909435608,1991,9,
1991-09-04,26.92622615417103,1991,9,
1991-09-05,25.77916820754629,1991,9,
1991-09-06,25.198158047583192,1991,9,
1991-09-07,24.8545278851524,1991,9,
1991-09-08,24.56385196752461,1991,9,
1991-09-09,24.28558856649069,1991,9,
1991-09-10,24.017758162061828,1991,9,
1991-09-11,25.645477613509453,1991,9,
1991-09-12,39.18302740025949,1991,9,
1991-09-13,45.20804351989204,1991,9,
1991-09-14,35.95223836503445,1991,9,
1991-09-15,28.31261220326208,1991,9,
1991-09-16,25.62534801590781,1991,9,
1991-09-17,24.78791047886871,1991,9,
1991-09-18,24.337471706366813,1991,9,
1991-09-19,23.95688694417224,1991,9,
1991-09-20,23.59812393972395,1991,9,
1991-09-21,23.254397345922587,1991,9,
1991-09-22,23.829769281038825,1991,9,
1991-09-23,33.653928649433176,1991,9,
1991-09-24,41.170671149946486,1991,9,
1991-09-25,48.86297556841347,1991,9,
1991-09-26,68.26480901249137,1991,9,
1991-09-27,70.59403446929561,1991,9,
1991-09-28,76.94403449511059,1991,9,
1991-09-29,85.09527633594486,1991,9,
1991-09-30,83.94480883404124,1991,9,
1991-10-01,81.45599777933869,1991,10,
1991-10-02,72.60525960622738,1991,10,
1991-10-03,64.24287624841969,1991,10,
1991-10-04,58.77415900938939,1991,10,
1991-10-05,62.73465930663568,1991,10,
1991-10-06,81.46350555569923,1991,10,
1991-10-07,91.87676571407492,1991,10,
1991-10-08,85.11641353241036,1991,10,
1991-10-09,74.70237187523446,1991,10,
1991-10-10,67.63424476740055,1991,10,
1991-10-11,62.82634341311314,1991,10,
1991-10-12,63.85863668726355,1991,10,
1991-10-13,70.5994032129239,1991,10,
1991-10-14,74.51511002852857,1991,10,
1991-10-15,70.62535800687068,1991,10,
1991-10-16,65.97510448552323,1991,10,
1991-10-17,67.42936850119297,1991,10,
1991-10-18,77.38319494675513,1991,10,
1991-10-19,89.58056998572027,1991,10,
1991-10-20,86.93360848619362,1991,10,
1991-10-21,80.73109659513645,1991,10,
1991-10-22,75.49523017814228,1991,10,
1991-10-23,70.6383791777133,1991,10,
1991-10-24,66.18040053452513,1991,10,
1991-10-25,62.37419793918864,1991,10,
1991-10-26,59.0774374152543,1991,10,
1991-10-27,56.154261521553146,1991,10,
1991-10-28,53.52908035756886,1991,10,
1991-10-29,51.15837427797853,1991,10,
1991-10-30,49.25281678124836,1991,10,
1991-10-31,50.6964972481781,1991,10,
1991-11-01,57.18639091123829,1991,11,
1991-11-02,62.96508207282962,1991,11,
1991-11-03,65.64839974675805,1991,11,
1991-11-04,85.48491096634325,1991,11,
1991-11-05,111.70968443762251,1991,11,
1991-11-06,119.92471718748402,1991,11,
1991-11-07,123.5744470802836,1991,11,
1991-11-08,130.29578289962924,1991,11,
1991-11-09,137.10546839714175,1991,11,
1991-11-10,143.7114241250599,1991,11,
1991-11-11,154.41316717113497,1991,11,
1991-11-12,182.56540592979584,1991,11,
1991-11-13,213.50176578824087,1991,11,
