date,SMI,RCI,QDI,MDI
2006-03-21,70.703125,36.328125,42.578125,49.869793
2006-03-22,69.921875,34.765625,26.171875,43.619793
2006-03-23,70.703125,33.203125,24.609375,42.838543
2006-03-24,73.046875,37.109375,84.765625,64.97396
2006-03-25,91.015625,88.671875,99.609375,93.09896
2006-03-26,93.359375,98.828125,98.828125,97.00521
2006-03-27,92.578125,99.609375,94.140625,95.44271
2006-03-28,90.234375,97.265625,91.796875,93.09896
2006-03-29,89.453125,94.921875,88.671875,91.015625
2006-03-30,93.359375,97.265625,99.609375,96.74479
2006-03-31,97.265625,99.609375,95.703125,97.52604
2006-04-01,96.484375,98.046875,91.015625,95.18229
2006-04-02,94.140625,97.265625,93.359375,94.921875
2006-04-03,94.140625,97.265625,90.234375,93.88021
2006-04-04,92.578125,97.265625,89.453125,93.09896
2006-04-05,91.796875,97.265625,89.453125,92.83854
2006-04-06,91.015625,96.484375,87.109375,91.53646
2006-04-07,91.015625,94.921875,85.546875,90.49479
2006-04-08,91.015625,92.578125,84.765625,89.453125
2006-04-09,91.015625,91.015625,80.078125,87.36979
2006-04-10,91.015625,91.015625,88.671875,90.234375
2006-04-11,91.015625,91.015625,76.171875,86.06771
2006-04-12,87.890625,91.015625,73.828125,84.24479
2006-04-13,89.453125,88.671875,78.515625,85.546875
2006-04-14,91.015625,87.109375,80.859375,86.328125
2006-04-15,91.015625,84.765625,75.390625,83.72396
2006-04-16,92.578125,91.796875,87.890625,90.75521
2006-04-17,93.359375,91.796875,80.859375,88.671875
2006-04-18,91.015625,88.671875,79.296875,86.328125
2006-04-19,91.015625,87.109375,79.296875,85.80729
2006-04-20,90.234375,87.109375,80.859375,86.06771
2006-04-21,90.234375,80.859375,80.859375,83.984375
2006-04-22,91.015625,80.078125,79.296875,83.46354
2006-04-23,91.015625,80.078125,76.953125,82.68229
2006-04-24,91.015625,77.734375,73.046875,80.59896
2006-04-25,87.890625,73.046875,67.578125,76.171875
2006-04-26,87.890625,76.171875,88.671875,84.24479
2006-04-27,90.234375,82.421875,91.015625,87.890625
2006-04-28,91.015625,85.546875,86.328125,87.63021
2006-04-29,92.578125,88.671875,95.703125,92.31771
2006-04-30,93.359375,90.234375,80.859375,88.15104
2006-05-01,91.796875,87.109375,83.203125,87.36979
2006-05-02,91.015625,85.546875,80.859375,85.80729
2006-05-03,91.015625,85.546875,77.734375,84.765625
2006-05-04,91.015625,83.984375,74.609375,83.203125
2006-05-05,89.453125,81.640625,70.703125,80.59896
2006-05-06,86.328125,77.734375,66.796875,76.953125
2006-05-07,85.546875,74.609375,68.359375,76.171875
2006-05-08,83.203125,73.046875,66.015625,74.08854
2006-05-09,78.515625,71.484375,62.890625,70.96354
2006-05-10,73.828125,69.921875,66.796875,70.18229
2006-05-11,70.703125,66.015625,62.109375,66.27604
2006-05-12,63.671875,61.328125,58.203125,61.067707
2006-05-13,65.234375,57.421875,87.109375,69.921875
2006-05-14,70.703125,52.734375,57.421875,60.286457
2006-05-15,59.765625,48.828125,54.296875,54.296875
2006-05-16,53.515625,46.484375,51.171875,50.390625
2006-05-17,55.078125,44.140625,69.921875,56.380207
2006-05-18,61.328125,41.796875,83.203125,62.109375
2006-05-19,66.015625,40.234375,66.796875,57.682293
2006-05-20,70.703125,37.890625,83.984375,64.19271
2006-05-21,73.046875,36.328125,48.828125,52.734375
2006-05-22,71.484375,35.546875,73.828125,60.286457
2006-05-23,69.140625,31.640625,43.359375,48.046875
2006-05-24,68.359375,27.734375,42.578125,46.223957
2006-05-25,66.796875,23.828125,41.796875,44.140625
2006-05-26,75.390625,47.265625,93.359375,72.00521
2006-05-27,91.015625,80.078125,94.921875,88.671875
2006-05-28,91.015625,84.765625,75.390625,83.72396
2006-05-29,90.234375,83.203125,83.203125,85.546875
2006-05-30,89.453125,83.203125,69.140625,80.59896
